,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns,negative_prop,negative_tfidf,positive_prop,positive_tfidf,uncertainty_prop,uncertainty_tfidf,pre_vol,post_vol,n_pre,n_post
30,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2025-05-07,2025-03-29,2025-05-06 22:04:48+00:00,0000002488-25-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248825000047/amd-20250329.htm,24815,2597,data/interim/text/000000248825000047.txt.gz,248825000047,2025Q2,2025-05-06 18:04:48-04:00,2025-05-07,2025-05-07,2025-05-07,2025-05-06,98.62000274658205,1174,224,0.03618778964336087,117.50838622459217,0.006770098730606488,16.823498815643024,0.030183356840620592,16.82777254503413,0.7539285954168002,0.4540217840718696,55.0,60.0
31,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2025-08-06,2025-06-28,2025-08-05 22:08:21+00:00,0000002488-25-000108,https://www.sec.gov/Archives/edgar/data/2488/000000248825000108/amd-20250628.htm,25763,2620,data/interim/text/000000248825000108.txt.gz,248825000108,2025Q3,2025-08-05 18:08:21-04:00,2025-08-06,2025-08-06,2025-08-06,2025-08-05,174.30999755859375,1236,162,0.03582657299227574,119.33873429898628,0.006210456856732523,16.2358154132182,0.029732562201606957,17.751692446240803,0.42882667118891965,0.7029226760646544,55.0,60.0
32,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2025-11-05,2025-09-27,2025-11-04 23:07:50+00:00,0000002488-25-000166,https://www.sec.gov/Archives/edgar/data/2488/000000248825000166/amd-20250927.htm,25907,2640,data/interim/text/000000248825000166.txt.gz,248825000166,2025Q4,2025-11-04 18:07:50-05:00,2025-11-05,2025-11-05,2025-11-05,2025-11-04,250.0500030517578,1300,98,0.03497124329331841,117.63202316722415,0.006175937005442544,16.501582746799716,0.030030493688964374,18.22838811423162,0.7212067623245857,0.6478407697908377,55.0,60.0
33,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-K,2021-02-17,2020-12-31,2021-02-17 15:41:38+00:00,0000018230-21-000063,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/cat-20201231.htm,35082,3338,data/interim/text/000001823021000063.txt.gz,1823021000063,2021Q1,2021-02-17 10:41:38-05:00,2021-02-17,2021-02-17,2021-02-17,2021-02-16,183.8806610107422,114,1284,0.018157459665925545,94.77476759331851,0.004218687646086312,19.78181376211392,0.01650419018299983,24.149741595587777,0.24898715954345849,0.24715502005989431,55.0,60.0
34,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2021-05-05,2021-03-31,2021-05-05 14:42:43+00:00,0000018230-21-000151,https://www.sec.gov/Archives/edgar/data/18230/000001823021000151/cat-20210331.htm,10528,1479,data/interim/text/000001823021000151.txt.gz,1823021000151,2021Q2,2021-05-05 10:42:43-04:00,2021-05-05,2021-05-05,2021-05-05,2021-05-04,213.0328369140625,168,1230,0.010923252279635259,18.247669302630058,0.006458966565349544,5.848647236055967,0.008358662613981762,3.975763847304269,0.27518332766867015,0.22431555938206327,55.0,60.0
35,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2021-08-04,2021-06-30,2021-08-04 15:06:39+00:00,0000018230-21-000221,https://www.sec.gov/Archives/edgar/data/18230/000001823021000221/cat-20210630.htm,13009,1477,data/interim/text/000001823021000221.txt.gz,1823021000221,2021Q3,2021-08-04 11:06:39-04:00,2021-08-04,2021-08-04,2021-08-04,2021-08-03,191.3187713623047,231,1167,0.009378122838035206,18.43428257272726,0.0064570681835652245,6.4145282081845565,0.0063033284649089095,4.169860295966844,0.22068626971209893,0.26039145461273416,55.0,60.0
36,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2021-11-03,2021-09-30,2021-11-03 19:55:20+00:00,0000018230-21-000260,https://www.sec.gov/Archives/edgar/data/18230/000001823021000260/cat-20210930.htm,13450,1510,data/interim/text/000001823021000260.txt.gz,1823021000260,2021Q4,2021-11-03 15:55:20-04:00,2021-11-03,2021-11-03,2021-11-03,2021-11-02,191.1018829345703,295,1103,0.01070631970260223,19.02546152565188,0.006840148698884758,7.18264156550722,0.006765799256505577,4.199424324167418,0.2536068994758672,0.26973715847537005,55.0,60.0
37,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-K,2022-02-16,2021-12-31,2022-02-16 15:50:47+00:00,0000018230-22-000050,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm,35226,3381,data/interim/text/000001823022000050.txt.gz,1823022000050,2022Q1,2022-02-16 10:50:47-05:00,2022-02-16,2022-02-16,2022-02-16,2022-02-15,188.5894927978516,367,1031,0.017827740873218645,93.72414099405535,0.005053085788905922,19.60321669520545,0.016408334752739454,24.374647681772522,0.27488811751948644,0.3300530756312972,55.0,60.0
38,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2022-05-04,2022-03-31,2022-05-04 14:47:23+00:00,0000018230-22-000112,https://www.sec.gov/Archives/edgar/data/18230/000001823022000112/cat-20220331.htm,10332,1443,data/interim/text/000001823022000112.txt.gz,1823022000112,2022Q2,2022-05-04 10:47:23-04:00,2022-05-04,2022-05-04,2022-05-04,2022-05-03,199.00537109375,420,978,0.010936895083236546,19.985768856557577,0.00532326751838947,5.404611232889834,0.007742934572202865,3.8030632023602755,0.31683769690081137,0.3863947978648747,55.0,60.0
39,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2022-08-03,2022-06-30,2022-08-03 14:25:33+00:00,0000018230-22-000183,https://www.sec.gov/Archives/edgar/data/18230/000001823022000183/cat-20220630.htm,12747,1467,data/interim/text/000001823022000183.txt.gz,1823022000183,2022Q3,2022-08-03 10:25:33-04:00,2022-08-03,2022-08-03,2022-08-03,2022-08-02,172.1460418701172,482,916,0.01129677571193222,18.992181513702086,0.005413038361967522,4.503227205939979,0.006668235663293324,4.13530847070217,0.36625687181445565,0.3678973613587213,55.0,60.0
40,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2022-11-02,2022-09-30,2022-11-02 14:37:08+00:00,0000018230-22-000223,https://www.sec.gov/Archives/edgar/data/18230/000001823022000223/cat-20220930.htm,14376,1554,data/interim/text/000001823022000223.txt.gz,1823022000223,2022Q4,2022-11-02 10:37:08-04:00,2022-11-02,2022-11-02,2022-11-02,2022-11-01,206.3407440185547,546,852,0.012451307735114079,23.68963770481569,0.006469115191986645,7.596080622426602,0.00667779632721202,3.915379164987732,0.3395437257857551,0.2309813839322598,55.0,60.0
41,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-K,2023-02-15,2022-12-31,2023-02-15 15:27:56+00:00,0000018230-23-000011,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,34562,3425,data/interim/text/000001823023000011.txt.gz,1823023000011,2023Q1,2023-02-15 10:27:56-05:00,2023-02-15,2023-02-15,2023-02-15,2023-02-14,231.8621826171875,617,781,0.019009316590475087,95.52520048066758,0.005092297899427116,21.7830722410351,0.016665702216306928,22.6243344714501,0.22669032209709658,0.29904667806393675,55.0,60.0
42,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2023-05-03,2023-03-31,2023-05-03 14:19:47+00:00,0000018230-23-000022,https://www.sec.gov/Archives/edgar/data/18230/000001823023000022/cat-20230331.htm,10638,1471,data/interim/text/000001823023000022.txt.gz,1823023000022,2023Q2,2023-05-03 10:19:47-04:00,2023-05-03,2023-05-03,2023-05-03,2023-05-02,205.2542724609375,670,728,0.01259635269787554,17.64843749520489,0.005922165820642978,7.415230102165745,0.009024252679075015,3.636182418268858,0.30294498022102423,0.3243168014467882,55.0,60.0
43,CAT,18230,CATERPILLAR INC,3531,Construction Machinery & Equip,10-Q,2023-08-02,2023-06-30,2023-08-02 14:16:35+00:00,0000018230-23-000047,https://www.sec.gov/Archives/edgar/data/18230/000001823023000047/cat-20230630.htm,12661,1470,data/interim/text/000001823023000047.txt.gz,1823023000047,2023Q3,2023-08-02 10:16:35-04:00,2023-08-02,2023-08-02,2023-08-02,2023-08-01,276.7373962402344,732,666,0.011373509201484874,16.29218004583185,0.005923702709106706,6.467926608496806,0.007345391359292315,3.6466677854510925,0.27841655920600433,0.2515674707834661,55.0,60.0
