,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns
702,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2024-11-07,2024-09-30,2024-11-07 21:30:29+00:00,0000950170-24-123423,https://www.sec.gov/Archives/edgar/data/1478320/000095017024123423/adpt-20240930.htm,8995,1295,data/interim/text/000095017024123423.txt.gz,000095017024123423,2024Q4,2024-11-07 16:30:29-05:00,2024-11-08,2024-11-08,2024-11-08,2024-11-07,5.630000114440918,1053,345
703,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-K,2025-03-03,2024-12-31,2025-03-03 21:36:18+00:00,0000950170-25-030913,https://www.sec.gov/Archives/edgar/data/1478320/000095017025030913/adpt-20241231.htm,62730,4602,data/interim/text/000095017025030913.txt.gz,000095017025030913,2025Q1,2025-03-03 16:36:18-05:00,2025-03-04,2025-03-04,2025-03-04,2025-03-03,8.100000381469727,1129,269
704,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2025-05-01,2025-03-31,2025-05-01 20:30:23+00:00,0000950170-25-061897,https://www.sec.gov/Archives/edgar/data/1478320/000095017025061897/adpt-20250331.htm,7722,1291,data/interim/text/000095017025061897.txt.gz,000095017025061897,2025Q2,2025-05-01 16:30:23-04:00,2025-05-02,2025-05-02,2025-05-02,2025-05-01,7.360000133514404,1171,227
705,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2025-08-05,2025-06-30,2025-08-05 20:31:13+00:00,0000950170-25-103120,https://www.sec.gov/Archives/edgar/data/1478320/000095017025103120/adpt-20250630.htm,8708,1313,data/interim/text/000095017025103120.txt.gz,000095017025103120,2025Q3,2025-08-05 16:31:13-04:00,2025-08-06,2025-08-06,2025-08-06,2025-08-05,11.050000190734863,1236,162
706,ADPT,1478320,Adaptive Biotechnologies Corp,2836,"Biological Products, (No Diagnostic Substances)",10-Q,2025-11-05,2025-09-30,2025-11-05 21:31:01+00:00,0001193125-25-267061,https://www.sec.gov/Archives/edgar/data/1478320/000119312525267061/adpt-20250930.htm,9347,1366,data/interim/text/000119312525267061.txt.gz,000119312525267061,2025Q4,2025-11-05 16:31:01-05:00,2025-11-06,2025-11-06,2025-11-06,2025-11-05,17.59000015258789,1301,97
707,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-K,2021-02-22,2020-12-31,2021-02-22 21:42:34+00:00,0001486957-21-000006,https://www.sec.gov/Archives/edgar/data/1486957/000148695721000006/bwxt-20201231.htm,32698,3090,data/interim/text/000148695721000006.txt.gz,000148695721000006,2021Q1,2021-02-22 16:42:34-05:00,2021-02-23,2021-02-23,2021-02-23,2021-02-22,54.07042694091797,118,1280
708,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2021-05-03,2021-03-31,2021-05-03 20:38:51+00:00,0001486957-21-000017,https://www.sec.gov/Archives/edgar/data/1486957/000148695721000017/bwxt-20210331.htm,7581,1250,data/interim/text/000148695721000017.txt.gz,000148695721000017,2021Q2,2021-05-03 16:38:51-04:00,2021-05-04,2021-05-04,2021-05-04,2021-05-03,63.22700500488281,167,1231
709,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2021-08-02,2021-06-30,2021-08-02 20:23:30+00:00,0001486957-21-000027,https://www.sec.gov/Archives/edgar/data/1486957/000148695721000027/bwxt-20210630.htm,8408,1265,data/interim/text/000148695721000027.txt.gz,000148695721000027,2021Q3,2021-08-02 16:23:30-04:00,2021-08-03,2021-08-03,2021-08-03,2021-08-02,53.67396545410156,230,1168
710,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-Q,2021-11-01,2021-09-30,2021-11-01 20:25:24+00:00,0001486957-21-000031,https://www.sec.gov/Archives/edgar/data/1486957/000148695721000031/bwxt-20210930.htm,8657,1307,data/interim/text/000148695721000031.txt.gz,000148695721000031,2021Q4,2021-11-01 16:25:24-04:00,2021-11-02,2021-11-02,2021-11-02,2021-11-01,54.53034973144531,294,1104
711,BWXT,1486957,"BWX Technologies, Inc.",3510,Engines & Turbines,10-K,2022-02-22,2021-12-31,2022-02-22 21:36:40+00:00,0001486957-22-000005,https://www.sec.gov/Archives/edgar/data/1486957/000148695722000005/bwxt-20211231.htm,31953,3069,data/interim/text/000148695722000005.txt.gz,000148695722000005,2022Q1,2022-02-22 16:36:40-05:00,2022-02-23,2022-02-23,2022-02-23,2022-02-22,40.65820693969727,371,1027
